subject_code,subject_name,section,unit,chapter,subtopic,ncert_heading,ncert_concept,concept_type,official_syllabus_url,syllabus_overlap_score,chapter_overlap_score
308,Computer Science,Section A,Common Core,Database Concepts,database vs file system,Database Concepts,database vs file system,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Database Concepts,relational model,Database Concepts,relational model,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Database Concepts,domain tuple relation,Database Concepts,domain tuple relation,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Database Concepts,candidate primary alternate foreign keys,Database Concepts,candidate primary alternate foreign keys,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Database Concepts,relational algebra selection projection union set difference cartesian product,Database Concepts,relational algebra selection projection union set difference cartesian product,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language I,SQL advantages,Structured Query Language I,SQL advantages,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language I,DDL DQL DML,Structured Query Language I,DDL DQL DML,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language I,MySQL database creation,Structured Query Language I,MySQL database creation,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language I,data types,Structured Query Language I,data types,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language I,CREATE DROP ALTER,Structured Query Language I,CREATE DROP ALTER,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language I,SELECT FROM WHERE,Structured Query Language I,SELECT FROM WHERE,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language I,INSERT UPDATE DELETE,Structured Query Language I,INSERT UPDATE DELETE,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language I,math functions,Structured Query Language I,math functions,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language I,text functions,Structured Query Language I,text functions,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language II,date functions,Structured Query Language II,date functions,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language II,aggregate functions,Structured Query Language II,aggregate functions,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language II,COUNT star,Structured Query Language II,COUNT star,definition-feature,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language II,GROUP BY HAVING ORDER BY,Structured Query Language II,GROUP BY HAVING ORDER BY,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Structured Query Language II,union intersection minus cartesian product join,Structured Query Language II,union intersection minus cartesian product join,query-practice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Computer Networks,network evolution,Computer Networks,network evolution,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Computer Networks,LAN WAN MAN,Computer Networks,LAN WAN MAN,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Computer Networks,network devices,Computer Networks,network devices,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Computer Networks,topologies,Computer Networks,topologies,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Computer Networks,MAC and IP address,Computer Networks,MAC and IP address,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section A,Common Core,Computer Networks,internet vs web,Computer Networks,internet vs web,concept-application,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Exception and File Handling in Python,syntax errors and exceptions,Exception and File Handling in Python,syntax errors and exceptions,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Exception and File Handling in Python,try except else finally,Exception and File Handling in Python,try except else finally,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Exception and File Handling in Python,user-defined exceptions,Exception and File Handling in Python,user-defined exceptions,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Exception and File Handling in Python,raise exceptions,Exception and File Handling in Python,raise exceptions,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Exception and File Handling in Python,text and binary files,Exception and File Handling in Python,text and binary files,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Exception and File Handling in Python,pickle,Exception and File Handling in Python,pickle,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Exception and File Handling in Python,file access modes,Exception and File Handling in Python,file access modes,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
308,Computer Science,Section B1,Computer Science,Stack,LIFO,Stack,LIFO,algorithm-dry-run,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030172.pdf,1.0,1.0
