chapter,subtopic,micro_concept,question_count,source_weighted_frequency,raw_score,data_status
Structured Query Language I,text functions,text functions,0,0,5.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language II,COUNT star,COUNT star,0,0,5.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language II,GROUP BY HAVING ORDER BY,GROUP BY HAVING ORDER BY,0,0,5.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language II,aggregate functions,aggregate functions,0,0,5.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language II,date functions,date functions,0,0,5.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language II,union intersection minus cartesian product join,union intersection minus cartesian product join,0,0,5.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language I,CREATE DROP ALTER,CREATE DROP ALTER,0,0,4.95,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language I,DDL DQL DML,DDL DQL DML,0,0,4.95,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language I,INSERT UPDATE DELETE,INSERT UPDATE DELETE,0,0,4.95,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language I,SELECT FROM WHERE,SELECT FROM WHERE,0,0,4.95,cs_syllabus_heuristic_no_pyq_frequency_yet
Database Concepts,relational algebra selection projection union set difference cartesian product,relational algebra selection projection union set difference cartesian product,0,0,4.9,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language I,MySQL database creation,MySQL database creation,0,0,4.7,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language I,SQL advantages,SQL advantages,0,0,4.7,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language I,data types,data types,0,0,4.7,cs_syllabus_heuristic_no_pyq_frequency_yet
Structured Query Language I,math functions,math functions,0,0,4.7,cs_syllabus_heuristic_no_pyq_frequency_yet
Database Concepts,candidate primary alternate foreign keys,candidate primary alternate foreign keys,0,0,4.65,cs_syllabus_heuristic_no_pyq_frequency_yet
Database Concepts,database vs file system,database vs file system,0,0,4.4,cs_syllabus_heuristic_no_pyq_frequency_yet
Database Concepts,domain tuple relation,domain tuple relation,0,0,4.4,cs_syllabus_heuristic_no_pyq_frequency_yet
Database Concepts,relational model,relational model,0,0,4.4,cs_syllabus_heuristic_no_pyq_frequency_yet
Data Communication and Security,DoS intrusion snooping eavesdropping,DoS intrusion snooping eavesdropping,0,0,4.25,cs_syllabus_heuristic_no_pyq_frequency_yet
Data Communication and Security,bandwidth and data transfer rate,bandwidth and data transfer rate,0,0,4.25,cs_syllabus_heuristic_no_pyq_frequency_yet
Data Communication and Security,firewall http https,firewall http https,0,0,4.25,cs_syllabus_heuristic_no_pyq_frequency_yet
Data Communication and Security,protocols,protocols,0,0,4.25,cs_syllabus_heuristic_no_pyq_frequency_yet
Computer Networks,LAN WAN MAN,LAN WAN MAN,0,0,4.1,cs_syllabus_heuristic_no_pyq_frequency_yet
Computer Networks,MAC and IP address,MAC and IP address,0,0,4.1,cs_syllabus_heuristic_no_pyq_frequency_yet
Computer Networks,internet vs web,internet vs web,0,0,4.1,cs_syllabus_heuristic_no_pyq_frequency_yet
Computer Networks,network devices,network devices,0,0,4.1,cs_syllabus_heuristic_no_pyq_frequency_yet
Computer Networks,network evolution,network evolution,0,0,4.1,cs_syllabus_heuristic_no_pyq_frequency_yet
Computer Networks,topologies,topologies,0,0,4.1,cs_syllabus_heuristic_no_pyq_frequency_yet
Stack,expression evaluation,expression evaluation,0,0,4.05,cs_syllabus_heuristic_no_pyq_frequency_yet
Stack,infix to postfix,infix to postfix,0,0,4.05,cs_syllabus_heuristic_no_pyq_frequency_yet
Stack,prefix infix postfix,prefix infix postfix,0,0,4.05,cs_syllabus_heuristic_no_pyq_frequency_yet
Data Communication and Security,communication types,communication types,0,0,4.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Data Communication and Security,switching techniques,switching techniques,0,0,4.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Data Communication and Security,viruses worms trojan spam cookies adware,viruses worms trojan spam cookies adware,0,0,4.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Data Communication and Security,wired media,wired media,0,0,4.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Data Communication and Security,wireless media,wireless media,0,0,4.0,cs_syllabus_heuristic_no_pyq_frequency_yet
Sorting,collision resolution,collision resolution,0,0,3.95,cs_syllabus_heuristic_no_pyq_frequency_yet
Sorting,dry run,dry run,0,0,3.95,cs_syllabus_heuristic_no_pyq_frequency_yet
Sorting,insertion sort,insertion sort,0,0,3.85,cs_syllabus_heuristic_no_pyq_frequency_yet
Sorting,selection sort,selection sort,0,0,3.85,cs_syllabus_heuristic_no_pyq_frequency_yet
Exception and File Handling in Python,file access modes,file access modes,0,0,3.8,cs_syllabus_heuristic_no_pyq_frequency_yet
Exception and File Handling in Python,pickle,pickle,0,0,3.8,cs_syllabus_heuristic_no_pyq_frequency_yet
Exception and File Handling in Python,raise exceptions,raise exceptions,0,0,3.8,cs_syllabus_heuristic_no_pyq_frequency_yet
Exception and File Handling in Python,syntax errors and exceptions,syntax errors and exceptions,0,0,3.8,cs_syllabus_heuristic_no_pyq_frequency_yet
Exception and File Handling in Python,text and binary files,text and binary files,0,0,3.8,cs_syllabus_heuristic_no_pyq_frequency_yet
Exception and File Handling in Python,try except else finally,try except else finally,0,0,3.8,cs_syllabus_heuristic_no_pyq_frequency_yet
Exception and File Handling in Python,user-defined exceptions,user-defined exceptions,0,0,3.8,cs_syllabus_heuristic_no_pyq_frequency_yet
Searching,binary search,binary search,0,0,3.75,cs_syllabus_heuristic_no_pyq_frequency_yet
Stack,LIFO,LIFO,0,0,3.7,cs_syllabus_heuristic_no_pyq_frequency_yet
Stack,list implementation,list implementation,0,0,3.7,cs_syllabus_heuristic_no_pyq_frequency_yet
Stack,push pop,push pop,0,0,3.7,cs_syllabus_heuristic_no_pyq_frequency_yet
Queue,insert delete,insert delete,0,0,3.65,cs_syllabus_heuristic_no_pyq_frequency_yet
Sorting,bubble sort,bubble sort,0,0,3.6,cs_syllabus_heuristic_no_pyq_frequency_yet
Sorting,hashing,hashing,0,0,3.6,cs_syllabus_heuristic_no_pyq_frequency_yet
Queue,FIFO,FIFO,0,0,3.4,cs_syllabus_heuristic_no_pyq_frequency_yet
Queue,deque,deque,0,0,3.4,cs_syllabus_heuristic_no_pyq_frequency_yet
Queue,list implementation,list implementation,0,0,3.4,cs_syllabus_heuristic_no_pyq_frequency_yet
Searching,best worst average case,best worst average case,0,0,3.4,cs_syllabus_heuristic_no_pyq_frequency_yet
Searching,python implementation,python implementation,0,0,3.4,cs_syllabus_heuristic_no_pyq_frequency_yet
Searching,sequential search,sequential search,0,0,3.4,cs_syllabus_heuristic_no_pyq_frequency_yet
Understanding Data,data collection,data collection,0,0,2.8,cs_syllabus_heuristic_no_pyq_frequency_yet
Understanding Data,data interpretation,data interpretation,0,0,2.8,cs_syllabus_heuristic_no_pyq_frequency_yet
Understanding Data,mean median,mean median,0,0,2.8,cs_syllabus_heuristic_no_pyq_frequency_yet
Understanding Data,standard deviation variance,standard deviation variance,0,0,2.8,cs_syllabus_heuristic_no_pyq_frequency_yet
