chapter,Business Environment,Business Finance,Consumer Protection,Controlling,Directing,Entrepreneurship Development,Marketing,Nature and Significance of Management,Organising,Planning,Principles of Management,Staffing
Business Environment,1.0,0.9898374107525981,0.9896534662740639,0.9976758512905094,0.9979233304280265,0.9547379088194137,0.9943434300238054,0.9896798353134678,0.9960069576258495,0.9998934316011163,0.9983705710393437,0.9952400991503149
Business Finance,0.9898374107525981,1.0,0.9957670765108113,0.9965166274668006,0.9960947685162302,0.9524503841336973,0.9960373983622974,0.9769679429356709,0.9930904060181212,0.9903524151592186,0.9962447802527814,0.9967097855411551
Consumer Protection,0.9896534662740639,0.9957670765108113,1.0,0.9967739862686814,0.9918793736077579,0.9251688727856583,0.9876897617750762,0.9648875184642149,0.9850330838351339,0.9888253402740733,0.9952136302450841,0.9988862272730957
Controlling,0.9976758512905094,0.9965166274668006,0.9967739862686814,1.0,0.9986029737512476,0.9483150246090821,0.9955744878987097,0.9825639608736229,0.9950100912511287,0.9974884233940263,0.9998337988674328,0.9994403546329081
Directing,0.9979233304280265,0.9960947685162302,0.9918793736077579,0.9986029737512476,1.0,0.9637248709841599,0.9989225417151762,0.9903766578635184,0.9988889005663371,0.9984489054249772,0.9993595837868691,0.9964883127016412
Entrepreneurship Development,0.9547379088194137,0.9524503841336973,0.9251688727856583,0.9483150246090821,0.9637248709841599,1.0,0.9730814113667089,0.9855173055453333,0.9750925230077168,0.9589434149149718,0.9535822658824408,0.9387762986917187
Marketing,0.9943434300238054,0.9960373983622974,0.9876897617750762,0.9955744878987097,0.9989225417151762,0.9730814113667089,1.0,0.9919535853781567,0.9994509815958741,0.9955232631680385,0.9968275469563633,0.9928225114997634
Nature and Significance of Management,0.9896798353134678,0.9769679429356709,0.9648875184642149,0.9825639608736229,0.9903766578635184,0.9855173055453333,0.9919535853781567,1.0,0.995225245692734,0.9914722488077089,0.9857818105997357,0.975848687409106
Organising,0.9960069576258495,0.9930904060181212,0.9850330838351339,0.9950100912511287,0.9988889005663371,0.9750925230077168,0.9994509815958741,0.995225245692734,1.0,0.9971459137781153,0.9966040467040691,0.9914617865936665
Planning,0.9998934316011163,0.9903524151592186,0.9888253402740733,0.9974884233940263,0.9984489054249772,0.9589434149149718,0.9955232631680385,0.9914722488077089,0.9971459137781153,1.0,0.9983893918035395,0.9947442515488223
Principles of Management,0.9983705710393437,0.9962447802527814,0.9952136302450841,0.9998337988674328,0.9993595837868691,0.9535822658824408,0.9968275469563633,0.9857818105997357,0.9966040467040691,0.9983893918035395,1.0,0.9986768670961244
Staffing,0.9952400991503149,0.9967097855411551,0.9988862272730957,0.9994403546329081,0.9964883127016412,0.9387762986917187,0.9928225114997634,0.975848687409106,0.9914617865936665,0.9947442515488223,0.9986768670961244,1.0
