source,source_url,raw_file_path,text_file_path,text_chars
NTA CUET syllabus page,https://cuet.nta.nic.in/syllabus/,C:\Users\shrey\OneDrive\Documents\New project\data\raw\cuet.nta.nic.in_c547304c5dbe843c.html,C:\Users\shrey\OneDrive\Documents\New project\data\processed\extracted_text\cuet.nta.nic.in_c547304c5dbe843c.txt,5439
NTA CUET syllabus page linked file,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2025/03/2025030154-1.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\cdnbbsr.s3waas.gov.in_826ec2a4d1fd2544.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\processed\extracted_text\cdnbbsr.s3waas.gov.in_826ec2a4d1fd2544.txt,3609
AfterBoards CUET Business Studies PYQs,https://www.afterboards.in/past-year-questions/cuet-business-studies,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_3bb529352b862b52.html,C:\Users\shrey\OneDrive\Documents\New project\data\processed\extracted_text\afterboards.in_3bb529352b862b52.txt,1884
AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/analyser,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_46690485188f32b4.html,C:\Users\shrey\OneDrive\Documents\New project\data\processed\extracted_text\afterboards.in_46690485188f32b4.txt,134
AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_bbf254903b3eee22.html,C:\Users\shrey\OneDrive\Documents\New project\data\processed\extracted_text\afterboards.in_bbf254903b3eee22.txt,13342
AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-2,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_ad0527ce36d4eb63.html,C:\Users\shrey\OneDrive\Documents\New project\data\processed\extracted_text\afterboards.in_ad0527ce36d4eb63.txt,14103
AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-3,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_a1c33d6aebf7648b.html,C:\Users\shrey\OneDrive\Documents\New project\data\processed\extracted_text\afterboards.in_a1c33d6aebf7648b.txt,13725
AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-4,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_113b0e2a654deb33.html,C:\Users\shrey\OneDrive\Documents\New project\data\processed\extracted_text\afterboards.in_113b0e2a654deb33.txt,14170
AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,C:\Users\shrey\OneDrive\Documents\New project\data\processed\extracted_text\afterboards.in_80478ab0352bbd76.txt,14769
AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,C:\Users\shrey\OneDrive\Documents\New project\data\processed\extracted_text\afterboards.in_640572d019803846.txt,13412
