chapter,subtopic,question_count,source_weighted_frequency,recency_score,cross_year_consistency,cross_shift_consistency,question_type_diversity,ncert_directness,student_confusion_score,raw_score,study_priority_score,difficulty,study_hours_required,expected_marks_contribution,roi,top_pattern,top_micro_concept,recommended_action,percentile_rank,priority_tier
Controlling,relationship with planning,23,14.95,12.545,0.75,0.5,0.6,1.0,0.0,0.8225,82.25,easy,1.35,82.25,60.93,definition-based,controlling,Study deeply and solve all available PYQs,0.6727,Tier 2 = High ROI
Organising,meaning and process,34,22.1,18.362,1.0,0.875,0.8,1.0,0.0,0.9175,91.75,easy,1.55,91.75,59.19,chronology/process order,division of work,Study deeply and solve all available PYQs,0.8909,Tier 1 = Must do
Controlling,meaning and importance,22,14.3,13.228,0.5,0.625,0.6,1.0,0.0,0.7975,79.75,easy,1.35,79.75,59.07,definition-based,meaning and importance,Study deeply and solve all available PYQs,0.6273,Tier 3 = Medium priority
Business Environment,meaning and features,23,14.95,12.968,1.0,0.75,0.8,1.0,0.0,0.905,90.5,easy,1.55,90.5,58.39,feature-identification,environment,Study deeply and solve all available PYQs,0.8727,Tier 1 = Must do
Organising,delegation,31,20.15,17.81,1.0,0.625,0.8,1.0,0.0,0.8925,89.25,easy,1.55,89.25,57.58,definition-based,delegation,Study deeply and solve all available PYQs,0.8091,Tier 2 = High ROI
Staffing,training and development,35,22.75,19.89,1.0,0.75,0.8,0.65,0.0,0.8875,88.75,easy,1.55,88.75,57.26,definition-based,training,Study deeply and solve all available PYQs,0.8,Tier 2 = High ROI
Consumer Protection,importance,36,23.4,20.41,0.75,0.875,0.8,1.0,0.0,0.88,88.0,easy,1.55,88.0,56.77,definition-based,importance,Study deeply and solve all available PYQs,0.7636,Tier 2 = High ROI
Staffing,selection,33,21.45,17.712,1.0,0.5,0.8,1.0,0.0,0.88,88.0,easy,1.55,88.0,56.77,chronology/process order,selection,Study deeply and solve all available PYQs,0.7636,Tier 2 = High ROI
Entrepreneurship Development,concept and functions,15,9.75,8.873,0.75,0.5,0.6,1.0,0.0,0.7381,73.81,easy,1.35,73.81,54.67,feature-identification,entrepreneurship,Study deeply and solve all available PYQs,0.5909,Tier 3 = Medium priority
Directing,Maslow hierarchy,24,15.6,14.398,0.75,0.5,0.8,1.0,0.0,0.8425,84.25,easy,1.55,84.25,54.35,chronology/process order,maslow hierarchy,Study deeply and solve all available PYQs,0.6909,Tier 2 = High ROI
Controlling,control process,78,50.7,40.625,1.0,1.0,1.0,1.0,0.0,0.95,95.0,easy,1.75,95.0,54.29,definition-based,control process,Study deeply and solve all available PYQs,1.0,Tier 1 = Must do
Nature and Significance of Management,meaning and objectives,34,22.1,20.117,1.0,1.0,1.0,1.0,0.0,0.95,95.0,easy,1.75,95.0,54.29,definition-based,meaning and objectives,Study deeply and solve all available PYQs,1.0,Tier 1 = Must do
Consumer Protection,legal redressal,19,12.35,9.295,1.0,0.25,0.8,1.0,0.0,0.8374,83.74,easy,1.55,83.74,54.03,definition-based,consumer redressal,Study deeply and solve all available PYQs,0.6818,Tier 2 = High ROI
Business Environment,dimensions,72,46.8,40.528,1.0,0.875,1.0,1.0,0.0,0.9375,93.75,easy,1.75,93.75,53.57,definition-based,environment,Study deeply and solve all available PYQs,0.9818,Tier 1 = Must do
