unit,chapter,subtopic,ncert_heading,ncert_page,ncert_paragraph,ncert_concept,concept_type,index_text,source
Unit I,Nature and Significance of Management,meaning and objectives,Meaning And Objectives,,,management; objectives; organisational objectives; social objectives; personal objectives,definition,Nature and Significance of Management meaning and objectives Meaning And Objectives management; objectives; organisational objectives; social objectives; personal objectives,syllabus_taxonomy_fallback
Unit I,Nature and Significance of Management,features of management,Features Of Management,,,features; goal oriented; pervasive; multidimensional; continuous process; group activity; dynamic function,process,Nature and Significance of Management features of management Features Of Management features; goal oriented; pervasive; multidimensional; continuous process; group activity; dynamic function,syllabus_taxonomy_fallback
Unit I,Nature and Significance of Management,importance of management,Importance Of Management,,,importance; efficiency; effectiveness; dynamic organisation; personal objectives,definition,Nature and Significance of Management importance of management Importance Of Management importance; efficiency; effectiveness; dynamic organisation; personal objectives,syllabus_taxonomy_fallback
Unit I,Nature and Significance of Management,levels of management,Levels Of Management,,,top level; middle level; supervisory; operational management; levels of management,definition,Nature and Significance of Management levels of management Levels Of Management top level; middle level; supervisory; operational management; levels of management,syllabus_taxonomy_fallback
Unit I,Nature and Significance of Management,functions of management,Functions Of Management,,,planning; organising; staffing; directing; controlling; coordination,definition,Nature and Significance of Management functions of management Functions Of Management planning; organising; staffing; directing; controlling; coordination,syllabus_taxonomy_fallback
Unit I,Nature and Significance of Management,coordination,Coordination,,,coordination; essence of management; integrates group efforts,definition,Nature and Significance of Management coordination Coordination coordination; essence of management; integrates group efforts,syllabus_taxonomy_fallback
Unit II,Principles of Management,nature of principles,Nature Of Principles,,,principles of management; general guidelines; flexible; contingent; behavioural,principle,Principles of Management nature of principles Nature Of Principles principles of management; general guidelines; flexible; contingent; behavioural,syllabus_taxonomy_fallback
Unit II,Principles of Management,Fayol principles,Fayol Principles,,,fayol; division of work; authority; discipline; unity of command; unity of direction; scalar chain; esprit de corps,principle,Principles of Management Fayol principles Fayol Principles fayol; division of work; authority; discipline; unity of command; unity of direction; scalar chain; esprit de corps,syllabus_taxonomy_fallback
Unit II,Principles of Management,Taylor scientific management,Taylor Scientific Management,,,taylor; scientific management; mental revolution; science not rule of thumb; harmony not discord,principle,Principles of Management Taylor scientific management Taylor Scientific Management taylor; scientific management; mental revolution; science not rule of thumb; harmony not discord,syllabus_taxonomy_fallback
Unit II,Principles of Management,techniques of scientific management,Techniques Of Scientific Management,,,functional foremanship; standardisation; simplification; method study; motion study; time study; fatigue study; differential piece wage,definition,Principles of Management techniques of scientific management Techniques Of Scientific Management functional foremanship; standardisation; simplification; method study; motion study; time study; fatigue study; differential piece wage,syllabus_taxonomy_fallback
