chapter,subtopic,question_pattern,question_count
Marketing,product,definition-based,46
Business Environment,dimensions,definition-based,40
Nature and Significance of Management,functions of management,definition-based,39
Business Finance,financing decision,definition-based,36
Principles of Management,Fayol principles,principle-identification,35
Organising,organisation structure,definition-based,30
Controlling,control process,definition-based,29
Nature and Significance of Management,levels of management,definition-based,29
Controlling,control process,chronology/process order,27
Directing,communication,definition-based,27
Staffing,training and development,definition-based,25
Planning,planning process,chronology/process order,24
Organising,meaning and process,chronology/process order,24
Staffing,recruitment,definition-based,24
Consumer Protection,consumer rights,definition-based,24
Consumer Protection,importance,definition-based,21
Business Finance,financial management,definition-based,18
Business Finance,investment decision,definition-based,18
Organising,delegation,definition-based,18
Nature and Significance of Management,meaning and objectives,definition-based,18
Marketing,marketing mix,definition-based,18
Staffing,staffing process,chronology/process order,18
Controlling,meaning and importance,definition-based,17
Business Finance,working capital,definition-based,16
Staffing,selection,chronology/process order,15
Marketing,marketing meaning,definition-based,15
Staffing,staffing process,definition-based,15
Controlling,relationship with planning,definition-based,15
Business Finance,financial planning,definition-based,14
Principles of Management,Taylor scientific management,principle-identification,14
Consumer Protection,legal redressal,definition-based,13
Nature and Significance of Management,features of management,feature-identification,13
Planning,types of plans,definition-based,13
Planning,types of plans,match-the-following,13
Principles of Management,Fayol principles,match-the-following,13
Consumer Protection,consumer rights,match-the-following,12
Entrepreneurship Development,need and characteristics,definition-based,12
Business Environment,dimensions,match-the-following,12
Staffing,selection,definition-based,12
Directing,Maslow hierarchy,chronology/process order,12
Marketing,promotion,definition-based,11
Directing,communication,chronology/process order,11
Business Environment,meaning and features,feature-identification,11
Directing,leadership,definition-based,10
Marketing,product,feature-identification,10
Nature and Significance of Management,functions of management,case-study diagnosis,10
Business Finance,fixed capital,definition-based,10
Directing,motivation,definition-based,10
Controlling,control process,case-study diagnosis,9
Principles of Management,Fayol principles,statement true/false,9
Organising,decentralisation,definition-based,9
Marketing,promotion,statement true/false,9
Directing,meaning and importance,definition-based,9
Marketing,product,match-the-following,8
Consumer Protection,importance,feature-identification,8
Principles of Management,techniques of scientific management,definition-based,8
Principles of Management,techniques of scientific management,principle-identification,7
Planning,planning process,definition-based,7
Organising,delegation,statement true/false,7
Marketing,pricing,definition-based,7
Nature and Significance of Management,coordination,definition-based,7
Organising,meaning and process,definition-based,7
Directing,Maslow hierarchy,definition-based,7
Entrepreneurship Development,process,chronology/process order,7
Entrepreneurship Development,entrepreneurship in India,definition-based,7
Entrepreneurship Development,concept and functions,feature-identification,7
Entrepreneurship Development,competencies and values,definition-based,7
Staffing,recruitment,feature-identification,6
Business Environment,dimensions,example-to-concept,6
Planning,types of plans,statement true/false,6
Controlling,control process,match-the-following,6
Business Environment,meaning and features,definition-based,6
Business Environment,dimensions,statement true/false,6
Organising,formal and informal organisation,feature-identification,6
Business Finance,working capital,match-the-following,6
Business Finance,financial planning,statement true/false,6
Marketing,marketing mix,statement true/false,6
Nature and Significance of Management,functions of management,statement true/false,6
Staffing,training and development,case-study diagnosis,6
Business Finance,dividend decision,definition-based,6
Consumer Protection,consumer rights,feature-identification,6
Entrepreneurship Development,concept and functions,definition-based,6
Organising,organisation structure,statement true/false,6
Entrepreneurship Development,process,definition-based,6
Planning,importance,statement true/false,6
Principles of Management,nature of principles,principle-identification,6
Directing,communication,match-the-following,6
Controlling,relationship with planning,statement true/false,6
Staffing,meaning and importance,definition-based,5
Nature and Significance of Management,meaning and objectives,feature-identification,5
Nature and Significance of Management,meaning and objectives,principle-identification,5
Business Finance,financing decision,match-the-following,5
Nature and Significance of Management,levels of management,statement true/false,5
Consumer Protection,consumer rights,case-study diagnosis,5
Nature and Significance of Management,functions of management,match-the-following,5
Nature and Significance of Management,features of management,statement true/false,5
Business Finance,financing decision,statement true/false,5
Directing,communication,feature-identification,5
Entrepreneurship Development,need and characteristics,feature-identification,5
Directing,meaning and importance,feature-identification,5
Directing,leadership,statement true/false,5
Planning,limitations,definition-based,5
Business Environment,dimensions,feature-identification,5
Staffing,selection,match-the-following,5
Principles of Management,Taylor scientific management,statement true/false,5
Consumer Protection,consumer rights,statement true/false,5
Nature and Significance of Management,coordination,principle-identification,5
Business Environment,importance of environment,definition-based,5
Organising,formal and informal organisation,definition-based,4
Marketing,product,statement true/false,4
Business Finance,investment decision,statement true/false,4
Business Finance,financial planning,case-study diagnosis,4
Business Finance,financing decision,case-study diagnosis,4
Consumer Protection,importance,case-study diagnosis,4
Business Finance,financial management,statement true/false,4
Nature and Significance of Management,coordination,statement true/false,4
Controlling,meaning and importance,feature-identification,4
Staffing,recruitment,chronology/process order,4
Marketing,marketing meaning,chronology/process order,4
Nature and Significance of Management,functions of management,chronology/process order,4
Nature and Significance of Management,importance of management,definition-based,4
Planning,meaning and features,definition-based,4
Organising,importance,definition-based,4
Entrepreneurship Development,need and characteristics,chronology/process order,4
Marketing,marketing management philosophies,definition-based,4
Directing,Maslow hierarchy,match-the-following,4
Directing,motivation,chronology/process order,4
Business Environment,meaning and features,statement true/false,4
Principles of Management,techniques of scientific management,match-the-following,4
Business Finance,financial management,feature-identification,4
Principles of Management,Fayol principles,feature-identification,4
Principles of Management,nature of principles,case-study diagnosis,4
Staffing,staffing process,match-the-following,4
Marketing,marketing mix,feature-identification,4
Planning,importance,definition-based,4
Controlling,control process,feature-identification,3
Principles of Management,Fayol principles,case-study diagnosis,3
Directing,meaning and importance,statement true/false,3
Consumer Protection,importance,statement true/false,3
Marketing,promotion,match-the-following,3
Staffing,training and development,match-the-following,3
Marketing,marketing mix,match-the-following,3
Nature and Significance of Management,features of management,definition-based,3
