canonical_question_id,chapter,subtopic,question_pattern,micro_concept,difficulty_estimate,final_confidence
cq_000001_11b25b0dd4,Nature and Significance of Management,levels of management,statement true/false,management,easy,0.69
cq_000002_43cc01710c,Nature and Significance of Management,meaning and objectives,principle-identification,types of plans,easy,0.99
cq_000003_20931de855,Directing,Maslow hierarchy,chronology/process order,maslow hierarchy,easy,0.91
cq_000004_d8b9d61134,Organising,organisation structure,definition-based,delegation,medium,0.65
cq_000005_16eeb87246,Marketing,marketing mix,definition-based,product mix,easy,0.87
cq_000006_1409c142aa,Staffing,staffing process,feature-identification,staffing,easy,0.83
cq_000007_9bf3ad1ce5,Controlling,control process,chronology/process order,performance,easy,0.92
cq_000008_ed220d2a7f,Nature and Significance of Management,levels of management,definition-based,management,easy,0.66
cq_000009_c1d969901f,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.99
cq_000010_c7e2a14e1f,Principles of Management,Fayol principles,definition-based,principles,easy,0.53
cq_000011_c6c21691ed,Business Finance,financing decision,definition-based,types of plans,medium,0.75
cq_000012_cda2075649,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.93
cq_000013_c56c0a4019,Nature and Significance of Management,features of a profession,feature-identification,features,easy,0.33
cq_000014_f368bee175,Entrepreneurship Development,process,definition-based,process,easy,0.55
cq_000015_c911d5af7b,Entrepreneurship Development,entrepreneurship in India,definition-based,entrepreneurship,easy,0.89
cq_000016_e958a5b882,Nature and Significance of Management,features of management,definition-based,delegation,easy,0.57
cq_000017_70426df216,Planning,meaning and features,definition-based,planning,easy,0.72
cq_000018_121dcdd5b4,Organising,meaning and process,chronology/process order,process,easy,0.71
cq_000019_2bb51e82ab,Organising,decentralisation,match-the-following,centralisation/decentralisation,medium,0.59
cq_000020_7e2280c163,Business Environment,meaning and features,feature-identification,environment,easy,0.99
cq_000021_ea573fd24d,Organising,delegation,statement true/false,delegation,hard,0.45
cq_000022_ab6d49d2f5,Marketing,marketing meaning,chronology/process order,marketing,easy,0.99
cq_000023_0acad7b1fa,Nature and Significance of Management,levels of management,definition-based,management,easy,0.99
cq_000024_1e53e71d22,Business Finance,financial management,definition-based,financial,easy,0.64
cq_000025_c6a2f8a8db,Marketing,product,definition-based,product,easy,0.99
cq_000026_ca4cbff2e8,Nature and Significance of Management,meaning and objectives,feature-identification,types of plans,hard,0.58
cq_000027_4a568d8dab,Entrepreneurship Development,concept and functions,definition-based,entrepreneurship,easy,0.65
cq_000028_5e39df095f,Directing,leadership,statement true/false,leadership style,easy,0.56
cq_000029_020d5eb286,Marketing,marketing mix,definition-based,price mix,medium,0.99
cq_000030_38f467465a,Planning,meaning and features,statement true/false,planning,easy,0.60
cq_000031_25d6ceac1c,Marketing,product,definition-based,marketing,easy,0.76
cq_000032_2a1d23e153,Planning,importance,definition-based,planning,easy,0.99
cq_000033_e3eddf82b4,Marketing,product,definition-based,product mix,medium,0.99
cq_000034_54c840a444,Staffing,staffing process,case-study diagnosis,recruitment,medium,0.90
cq_000035_8374b1de11,Business Finance,financing decision,case-study diagnosis,financial risk,hard,0.59
cq_000036_b70e95e7e7,Planning,planning process,definition-based,types of plans,easy,0.74
cq_000037_8ca4066900,Staffing,training and development,definition-based,types of plans,easy,0.89
cq_000038_0c76e426d0,Business Environment,dimensions,definition-based,environment,easy,0.92
cq_000039_227b0b7b21,Entrepreneurship Development,need and characteristics,concept-to-example,desire,easy,0.87
cq_000040_bb0068c9ef,Controlling,control process,definition-based,types of plans,medium,0.84
cq_000041_cf97dba986,Organising,divisional structure,statement true/false,delegation,hard,0.35
cq_000042_9192846448,Staffing,selection,chronology/process order,selection,easy,0.99
cq_000043_a21ebcc680,Planning,planning process,chronology/process order,planning,easy,0.99
cq_000044_f25709632d,Business Finance,financing decision,case-study diagnosis,financial risk,medium,0.71
cq_000045_68f49d922c,Entrepreneurship Development,need and characteristics,definition-based,entrepreneurship,easy,0.65
cq_000046_a912619cb6,Principles of Management,Principle of Authority and Responsibility,statement true/false,delegation,easy,0.34
cq_000047_0ceb6fbe8b,Nature and Significance of Management,features of management,definition-based,management,easy,0.52
cq_000048_6e134066aa,Business Environment,meaning and features,definition-based,environment,easy,0.99
cq_000049_13e17f3d01,Consumer Protection,consumer rights,statement true/false,maslow hierarchy,medium,0.99
cq_000050_2ea6aa09ad,Planning,types of plans,statement true/false,types of plans,medium,0.89
cq_000051_d6830d1370,Business Finance,financing decision,statement true/false,financial risk,easy,0.76
cq_000052_cb9e89d6b0,Staffing,staffing process,definition-based,staffing,easy,0.67
cq_000053_4969b1cd6f,Directing,meaning and importance,feature-identification,directing,easy,0.58
cq_000054_539947ac7d,Directing,motivation,feature-identification,types of plans,hard,0.35
cq_000055_d93685f6db,Organising,organisation structure,definition-based,structure,easy,0.99
cq_000056_2d3b24120e,Business Finance,financing decision,definition-based,financial risk,easy,0.71
cq_000057_4faa8a1b8b,Marketing,marketing management philosophies,definition-based,marketing,easy,0.87
cq_000058_690b278429,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.49
cq_000059_e34d44f637,Marketing,marketing meaning,match-the-following,marketing,medium,0.48
cq_000060_e52e5a7fbd,Marketing,promotion,statement true/false,promotion mix,easy,0.99
cq_000061_a42c36af88,Staffing,staffing process,definition-based,staffing,easy,0.92
cq_000062_33a078b1b0,Principles of Management,Fayol principles,match-the-following,scalar chain,medium,0.99
cq_000063_a4c2bec4d5,Directing,meaning and importance,definition-based,directing,easy,0.84
cq_000064_ac7c72f1d7,Organising,delegation,definition-based,delegation,hard,0.56
cq_000065_6c2fc7acde,Organising,importance,match-the-following,entrepreneur characteristics,medium,0.99
cq_000066_198b55100b,Controlling,control process,definition-based,control,easy,0.99
cq_000067_3e26a5817d,Business Environment,dimensions,feature-identification,environment,easy,0.83
cq_000068_d22e4041ce,Entrepreneurship Development,concept and functions,feature-identification,entrepreneurship,easy,0.65
