chapter_gold,Business Environment,Business Finance,Consumer Protection,Controlling,Directing,Entrepreneurship,Entrepreneurship Development,Financial Management,Functions of Management,Marketing,Marketing Management,Nature and Scope of Business,Nature and Significance of Management,Organising,Physical Distribution,Planning,Principles of Management,Production and Operations Management,Staffing
Business Environment,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Business Finance,0,49,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
Consumer Protection,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Controlling,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Directing,0,0,0,1,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Entrepreneurship,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrepreneurship Development,0,0,1,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0
Financial Management,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Functions of Management,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Marketing,0,0,1,0,1,0,0,0,0,19,0,0,0,0,0,1,0,0,1
Marketing Management,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nature and Scope of Business,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nature and Significance of Management,2,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1
Organising,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,2,0,0,0
Physical Distribution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Planning,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0
Principles of Management,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,21,0,0
Production and Operations Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Staffing,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,16
