unit,chapter,subtopic,question_count,years_seen
Unit I,Nature and Significance of Management,functions of management,90,4
Unit IX,Business Finance,financing decision,90,4
Unit II,Principles of Management,Fayol principles,78,4
Unit X,Marketing,marketing mix,73,4
Unit VI,Staffing,staffing process,60,4
Unit VII,Directing,communication,56,4
Unit III,Business Environment,dimensions,54,4
Unit XI,Consumer Protection,consumer rights,49,4
Unit IV,Planning,types of plans,49,4
Unit VIII,Controlling,meaning and importance,47,4
Unit X,Marketing,marketing meaning,46,4
Unit I,Nature and Significance of Management,meaning and objectives,46,4
Unit X,Marketing,product,43,3
Unit VI,Staffing,training and development,39,4
Unit VII,Directing,meaning and importance,32,4
Unit VII,Directing,motivation,28,3
Unit VII,Directing,Maslow hierarchy,28,3
Unit VII,Directing,leadership,26,3
Unit VIII,Controlling,control process,26,4
Unit II,Principles of Management,techniques of scientific management,25,4
Unit III,Business Environment,meaning and features,24,4
Unit V,Organising,organisation structure,24,3
Unit X,Marketing,promotion,24,3
Unit V,Organising,meaning and process,23,4
Unit II,Principles of Management,Taylor scientific management,23,3
Unit XI,Consumer Protection,importance,23,4
Unit XII,Entrepreneurship Development,concept and functions,23,3
Unit V,Organising,delegation,22,4
Unit IX,Business Finance,investment decision,22,3
Unit I,Nature and Significance of Management,features of management,22,4
Unit I,Nature and Significance of Management,levels of management,21,3
Unit VI,Staffing,selection,21,3
Unit IX,Business Finance,working capital,21,3
Unit IV,Planning,limitations,19,3
Unit VI,Staffing,recruitment,19,3
Unit IV,Planning,importance,18,4
Unit IV,Planning,planning process,18,4
Unit XI,Consumer Protection,legal redressal,17,4
Unit IX,Business Finance,financial management,13,4
Unit I,Nature and Significance of Management,coordination,12,1
Unit XII,Entrepreneurship Development,competencies and values,12,3
Unit IV,Planning,meaning and features,11,3
Unit III,Business Environment,importance of environment,11,2
Unit IX,Business Finance,financial planning,11,2
Unit II,Principles of Management,nature of principles,10,3
Unit I,Nature and Significance of Management,importance of management,10,3
Unit IX,Business Finance,fixed capital,9,3
Unit VI,Staffing,meaning and importance,9,2
Unit V,Organising,formal and informal organisation,9,3
Unit V,Organising,decentralisation,8,2
Unit X,Marketing,pricing,7,3
Unit XI,Consumer Protection,NGOs and relief,7,2
Unit X,Marketing,channels of distribution,6,2
Unit X,Marketing,marketing management philosophies,5,2
Unit V,Organising,importance,5,1
Unit XI,Consumer Protection,consumer responsibilities,4,2
Unit XII,Entrepreneurship Development,process,4,1
,,,4,1
Unit III,Business Environment,liberalisation privatisation globalisation,3,2
Unit IX,Business Finance,dividend decision,3,2
Unit VIII,Controlling,relationship with planning,3,2
Unit X,Marketing,marketing vs selling,3,2
Unit XII,Entrepreneurship Development,need and characteristics,2,2
